region,post_datetime,neighborhood,post_title_text,post_price,post_link,id
manhattan,2020-05-09 08:36:00,Greenwich Village,FURN ROOM PERFECT LOC - FOR COMMUTERS/FREQ TRVLRS,1050,https://newyork.craigslist.org/mnh/roo/d/new-york-city-furn-room-perfect-loc-for/7121180177.html,https://newyork.craigslist.org/mnh/roo/d/new-york-city-furn-room-perfect-loc-for/7121180177.html_2020_05_09
manhattan,2020-05-09 08:31:00,Harlem / Morningside,FURNISHED ROOM AVAILABLE W/OUTDOOR SPACE!,1300,https://newyork.craigslist.org/mnh/roo/d/new-york-furnished-room-available/7121178393.html,https://newyork.craigslist.org/mnh/roo/d/new-york-furnished-room-available/7121178393.html_2020_05_09
manhattan,2020-05-09 08:31:00,Murray Hill,GREAT SHARE>>SEE PICTURES,1675,https://newyork.craigslist.org/mnh/roo/d/new-york-great-sharesee-pictures/7119467850.html,https://newyork.craigslist.org/mnh/roo/d/new-york-great-sharesee-pictures/7119467850.html_2020_05_09
manhattan,2020-05-09 08:30:00,Harlem / Morningside,LARGE FURNISHED ROOM AVAILABLE-MONTH-TO-MONTH OK!!!,1325,https://newyork.craigslist.org/mnh/roo/d/new-york-large-furnished-room-available/7121178296.html,https://newyork.craigslist.org/mnh/roo/d/new-york-large-furnished-room-available/7121178296.html_2020_05_09
manhattan,2020-05-09 08:13:00,Harlem / Morningside,⭕ *UTILITIES INCLUDED / P R I V A T E / 15 mns to Times Square,1300,https://newyork.craigslist.org/mnh/roo/d/new-york-utilities-included-r-v-t-15/7119538431.html,https://newyork.craigslist.org/mnh/roo/d/new-york-utilities-included-r-v-t-15/7119538431.html_2020_05_09
manhattan,2020-05-09 08:02:00,upper west side,HUGE bedroom /bathroom LUXURY prewar building,1800,https://newyork.craigslist.org/mnh/roo/d/new-york-city-huge-bedroom-bathroom/7112008690.html,https://newyork.craigslist.org/mnh/roo/d/new-york-city-huge-bedroom-bathroom/7112008690.html_2020_05_09
manhattan,2020-05-09 07:32:00,Harlem / Morningside,YOU WANT TO BE HERE-Cozy&Fully Furnished Room-CALLING YOUNG COUPLES,1050,https://newyork.craigslist.org/mnh/roo/d/new-york-you-want-to-be-here-cozyfully/7121163929.html,https://newyork.craigslist.org/mnh/roo/d/new-york-you-want-to-be-here-cozyfully/7121163929.html_2020_05_09
manhattan,2020-05-09 07:30:00,Manhattan/ Harlem,Beautiful Apartment cross from Park/ Whole foods and Columbia Univ.,1000,https://newyork.craigslist.org/mnh/roo/d/new-york-beautiful-apartment-cross-from/7115299866.html,https://newyork.craigslist.org/mnh/roo/d/new-york-beautiful-apartment-cross-from/7115299866.html_2020_05_09
manhattan,2020-05-09 07:12:00,Upper East Side,1 BR in 2BR for Rent - Great Location Near Q Train!,1340,https://newyork.craigslist.org/mnh/roo/d/new-york-1-br-in-2br-for-rent-great/7118026484.html,https://newyork.craigslist.org/mnh/roo/d/new-york-1-br-in-2br-for-rent-great/7118026484.html_2020_05_09
manhattan,2020-05-09 06:37:00,Financial District,Spacious Beautiful Rooms(WTC/Times Sq),1395,https://newyork.craigslist.org/mnh/roo/d/jersey-city-spacious-beautiful-roomswtc/7114152787.html,https://newyork.craigslist.org/mnh/roo/d/jersey-city-spacious-beautiful-roomswtc/7114152787.html_2020_05_09
manhattan,2020-05-09 06:36:00,Inwood / Wash Hts,HUGE PRIVATE ROOM IN WASHINGTON HTS.,1200,https://newyork.craigslist.org/mnh/roo/d/new-york-huge-private-room-in/7121155353.html,https://newyork.craigslist.org/mnh/roo/d/new-york-huge-private-room-in/7121155353.html_2020_05_09
manhattan,2020-05-09 06:12:00,Lower East Side,Furnished Bedroom Available Now in Luxury LES Building!,1700,https://newyork.craigslist.org/mnh/roo/d/new-york-furnished-bedroom-available/7117479048.html,https://newyork.craigslist.org/mnh/roo/d/new-york-furnished-bedroom-available/7117479048.html_2020_05_09
manhattan,2020-05-09 03:58:00,Midtown West,NO FEE-$1780-1BR ROOMMATE WANTED  on 3BR/2BA-Time Square Luxury Condo,1780,https://newyork.craigslist.org/mnh/roo/d/new-york-no-fee-br-roommate-wanted-on/7121140805.html,https://newyork.craigslist.org/mnh/roo/d/new-york-no-fee-br-roommate-wanted-on/7121140805.html_2020_05_09
manhattan,2020-05-09 03:29:00,Harlem / Morningside,Huge Private Furnished Room in Sunny Pre-War Apartment /May 15,1225,https://newyork.craigslist.org/mnh/roo/d/new-york-huge-private-furnished-room-in/7121138568.html,https://newyork.craigslist.org/mnh/roo/d/new-york-huge-private-furnished-room-in/7121138568.html_2020_05_09
manhattan,2020-05-09 02:31:00,East Harlem,Spacious Apartment for Summer,1600,https://newyork.craigslist.org/mnh/roo/d/new-york-spacious-apartment-for-summer/7121133766.html,https://newyork.craigslist.org/mnh/roo/d/new-york-spacious-apartment-for-summer/7121133766.html_2020_05_09
manhattan,2020-05-09 01:20:00,East Village,SUMMER WORK LIVE. LOFT ...REDUCED !,1750,https://newyork.craigslist.org/mnh/roo/d/new-york-summer-work-live-loft-reduced/7121123025.html,https://newyork.craigslist.org/mnh/roo/d/new-york-summer-work-live-loft-reduced/7121123025.html_2020_05_09
manhattan,2020-05-08 23:43:00,Murray Hill,.. Room For Rent for June inside Doorman High-Rise,1225,https://newyork.craigslist.org/mnh/roo/d/new-york-room-for-rent-for-june-inside/7121105384.html,https://newyork.craigslist.org/mnh/roo/d/new-york-room-for-rent-for-june-inside/7121105384.html_2020_05_09
manhattan,2020-05-08 23:43:00,Upper East Side,...  Large Private Room - Lux Blng / Roosevelt Island / 1 MONTH FREE,1300,https://newyork.craigslist.org/mnh/roo/d/new-york-large-private-room-lux-blng/7121105364.html,https://newyork.craigslist.org/mnh/roo/d/new-york-large-private-room-lux-blng/7121105364.html_2020_05_09
manhattan,2020-05-08 23:39:00,Upper West Side,Affordable STUDIO APT keep social distance Columbia Univ 15min,1600,https://newyork.craigslist.org/mnh/roo/d/new-york-affordable-studio-apt-keep/7118962416.html,https://newyork.craigslist.org/mnh/roo/d/new-york-affordable-studio-apt-keep/7118962416.html_2020_05_09
manhattan,2020-05-08 23:11:00,Murray Hill,"31st Floor, Furnished, Luxury Doorman Building, Incredible Views!",1430,https://newyork.craigslist.org/mnh/roo/d/new-york-city-31st-floor-furnished/7108071181.html,https://newyork.craigslist.org/mnh/roo/d/new-york-city-31st-floor-furnished/7108071181.html_2020_05_09
manhattan,2020-05-08 23:10:00,Upper West Side,"move in today, furnished and private room for female roommate",1150,https://newyork.craigslist.org/mnh/roo/d/new-york-move-in-today-furnished-and/7121097357.html,https://newyork.craigslist.org/mnh/roo/d/new-york-move-in-today-furnished-and/7121097357.html_2020_05_09
manhattan,2020-05-08 22:47:00,Maspeth,Room + livingroom for rent - excess to patio,1400,https://newyork.craigslist.org/mnh/roo/d/maspeth-room-livingroom-for-rent-excess/7119908697.html,https://newyork.craigslist.org/mnh/roo/d/maspeth-room-livingroom-for-rent-excess/7119908697.html_2020_05_09
manhattan,2020-05-08 22:47:00,Upper West Side,Room in shared 2 bedroom apartment,1325,https://newyork.craigslist.org/mnh/roo/d/new-york-city-room-in-shared-2-bedroom/7121091070.html,https://newyork.craigslist.org/mnh/roo/d/new-york-city-room-in-shared-2-bedroom/7121091070.html_2020_05_09
manhattan,2020-05-08 22:32:00,Bedford Park D and 4 Train 30/45 min to Manhattan,*******Charming ****CozyFurnished Rm ****** Whimsical House**********,1200,https://newyork.craigslist.org/mnh/roo/d/bronx-charming-cozyfurnished-rm/7118249101.html,https://newyork.craigslist.org/mnh/roo/d/bronx-charming-cozyfurnished-rm/7118249101.html_2020_05_09
